# Time-averaged data for fix scalarOut
# TimeStep v_Dtwopoint v_DmolTwopoint v_DxMolTwopoint v_DyMolTwopoint v_DzMolTwopoint v_Dfitslope v_DmolFitslope v_DxMolFitslope v_DyMolFitslope v_DzMolFitslope v_Dvacf v_Dxvacf v_Dyvacf v_Dzvacf
690 0.000235295 2.26364e-05 1.94147e-07 6.02554e-05 7.45963e-06 0.000222983 2.77891e-05 2.58111e-05 4.55054e-05 1.20506e-05 -0.000361576 -0.00169989 0.00104129 -0.000426131
700 0.000233625 1.85746e-05 2.57819e-09 5.16424e-05 4.0787e-06 0.000223302 2.75802e-05 2.50818e-05 4.57894e-05 1.18694e-05 -0.000392724 -0.00159888 0.00101818 -0.000597479
710 0.000239602 1.45525e-05 1.01856e-07 4.26248e-05 9.30882e-07 0.000223633 2.72656e-05 2.43823e-05 4.58142e-05 1.16005e-05 -0.000475638 -0.00185977 0.000882295 -0.000449443
720 0.000233677 1.14541e-05 4.76429e-07 3.3798e-05 8.78501e-08 0.000223986 2.6865e-05 2.37185e-05 4.55896e-05 1.1287e-05 -0.000530662 -0.00183427 0.000724923 -0.00048264
730 0.000226494 1.01263e-05 1.30443e-06 2.65513e-05 2.52314e-06 0.000224194 2.64222e-05 2.30978e-05 4.51566e-05 1.10121e-05 -0.000556732 -0.001833 0.000728535 -0.000565731
740 0.000216797 1.07379e-05 2.96836e-06 2.10994e-05 8.14594e-06 0.000224114 2.59899e-05 2.2536e-05 4.45726e-05 1.08612e-05 -0.000547391 -0.00192869 0.000878251 -0.000591731
750 0.000216758 1.30158e-05 5.37941e-06 1.80368e-05 1.56313e-05 0.000223882 2.56171e-05 2.20524e-05 4.3902e-05 1.08969e-05 -0.000472683 -0.00193324 0.000903551 -0.00038836
760 0.000212366 1.59107e-05 7.79277e-06 1.71941e-05 2.27453e-05 0.000223639 2.53294e-05 2.16526e-05 4.32108e-05 1.11247e-05 -0.000379197 -0.00173304 0.000944599 -0.000349145
770 0.000216189 1.86806e-05 9.33852e-06 1.83119e-05 2.83914e-05 0.000223381 2.51264e-05 2.13197e-05 4.2552e-05 1.15076e-05 -0.000351156 -0.00157762 0.000704506 -0.00018036
780 0.000216267 2.07454e-05 9.16893e-06 2.13735e-05 3.16938e-05 0.000223168 2.4993e-05 2.1016e-05 4.19748e-05 1.1988e-05 -0.000362889 -0.0018137 0.000648615 7.64197e-05
790 0.00021001 2.19162e-05 7.76689e-06 2.59648e-05 3.2017e-05 0.000222949 2.49035e-05 2.06997e-05 4.15184e-05 1.24924e-05 -0.000244365 -0.00164823 0.000710805 0.000204327
